nama,rating,gp,point_per_game,rebound_per_game,assist_per_game
Nikola Jokic,35.58,29,28.9,12.0,10.9
Shai Gilgeous-Alexander,33.34,29,32.5,4.8,6.6
Luka Doncic,25.37,21,34.1,8.6,8.8
Tyrese Maxey,23.75,26,31.0,4.5,6.9
Jalen Brunson,23.34,26,29.1,3.4,6.6
Jamal Murray,23.26,28,25.1,4.4,6.9
Cade Cunningham,22.74,27,26.4,6.4,9.4
Jaylen Brown,22.70,27,29.4,6.4,4.9
Donovan Mitchell,22.30,28,30.6,4.5,5.4
Julius Randle,21.36,30,22.6,7.2,5.5
Alperen Sengun,21.21,25,23.0,9.3,6.9
Austin Reaves,20.74,22,27.3,5.4,6.5
Jalen Johnson,20.54,28,23.8,10.5,8.3
Karl-Anthony Towns,20.50,27,22.3,11.7,3.0
James Harden,19.69,27,26.0,5.1,8.1
Jalen Duren,19.61,27,18.5,11.1,1.8
Deni Avdija,19.46,30,25.5,7.1,6.6
Kevin Durant,19.10,25,25.2,5.0,4.0
Scottie Barnes,18.84,31,19.3,8.0,5.0
Amen Thompson,18.42,27,17.6,7.3,5.3
Jimmy Butler,18.25,26,19.9,5.5,4.7
Josh Giddey,18.24,27,20.0,9.3,9.1
Devin Booker,18.21,26,25.4,4.1,6.6
Anthony Edwards,18.01,23,28.7,5.0,3.8
Mikal Bridges,17.83,29,17.0,4.6,4.1
Lauri Markkanen,17.16,25,27.8,7.1,2.1
Michael Porter Jr.,16.76,24,25.7,7.3,3.2
Rudy Gobert,16.76,30,11.5,11.1,2.0
Keyonte George,16.73,29,23.9,4.1,6.8
Giannis Antetokounmpo,16.58,17,28.9,10.1,6.1
Derrick White,16.46,28,18.3,4.2,5.1
Payton Pritchard,16.39,29,16.8,4.3,5.2
Brandon Ingram,16.35,31,21.7,5.8,3.8
Franz Wagner,16.10,24,22.7,6.1,3.7
Pascal Siakam,15.95,29,23.5,6.8,3.9
Chet Holmgren,15.75,25,18.2,7.6,1.6
Evan Mobley,15.12,25,19.1,9.3,4.1
Stephen Curry,15.07,21,28.7,4.2,4.3
Desmond Bane,14.96,30,19.1,4.4,4.6
Cooper Flagg,14.92,30,19.2,6.4,3.8
Nic Claxton,14.89,28,13.6,7.8,4.4
Victor Wembanyama,14.69,17,23.7,11.8,3.6
Josh Hart,14.49,27,12.1,8.1,5.1
Miles Bridges,14.48,30,20.6,6.1,3.9
De'Aaron Fox,14.36,21,21.6,3.8,6.2
Immanuel Quickley,14.35,30,15.8,4.3,6.4
Norman Powell,14.32,25,23.7,3.9,2.6
Nikola Vucevic,14.29,28,16.1,9.2,3.5
Ajay Mitchell,14.15,29,14.1,3.6,3.6
Deandre Ayton,14.12,24,15.2,9.0,0.9
Trey Murphy III,14.12,29,20.6,6.2,3.6
Keldon Johnson,14.01,29,13.0,6.3,1.6
Ryan Rollins,13.90,30,17.2,4.1,5.8
DeMar DeRozan,13.88,30,19.0,3.3,3.6
Devin Vassell,13.87,29,15.8,4.1,2.5
Kawhi Leonard,13.62,19,26.1,6.2,3.3
Donte DiVincenzo,13.61,30,13.9,4.3,3.8
Mark Williams,13.42,25,12.8,8.0,1.1
Ivica Zubac,13.39,28,15.6,11.1,2.5
Stephon Castle,13.20,20,18.6,5.3,6.9
Jabari Smith Jr.,13.18,26,15.7,6.8,2.0
Nickeil Alexander-Walker,13.14,29,20.3,3.5,3.3
Kon Knueppel,13.03,30,19.4,5.2,3.5
Onyeka Okongwu,12.99,30,15.7,7.4,3.2
Kel'el Ware,12.95,30,12.2,10.7,0.6
Reed Sheppard,12.75,27,13.3,3.0,3.4
Santi Aldama,12.74,30,14.4,6.6,3.0
Naz Reid,12.73,30,13.7,6.3,2.4
Collin Gillespie,12.69,29,13.3,3.9,4.9
Jaime Jaquez Jr.,12.50,29,15.9,5.5,4.7
Harrison Barnes,12.35,29,12.9,3.2,2.1
Neemias Queta,12.30,27,10.0,7.9,1.6
Ausar Thompson,12.29,26,12.1,6.0,2.8
Dyson Daniels,12.22,30,11.5,6.4,5.7
Isaiah Hartenstein,12.18,22,11.4,10.6,3.0
Bam Adebayo,12.17,24,18.0,9.5,2.4
Wendell Carter Jr.,12.13,29,12.3,7.6,2.0
Jaden McDaniels,11.96,28,15.0,4.6,2.6
VJ Edgecombe,11.91,24,16.0,5.5,4.0
Shaedon Sharpe,11.86,26,22.1,4.4,2.4
Quentin Grimes,11.77,26,15.3,4.0,4.4
Anthony Black,11.75,30,14.0,4.2,3.4
Naji Marshall,11.69,31,13.4,4.8,2.6
Jaren Jackson Jr.,11.61,28,17.8,5.3,2.0
Jerami Grant,11.48,26,20.0,4.0,2.7
Tim Hardaway Jr.,11.41,29,12.7,2.1,1.4
Russell Westbrook,11.31,30,14.4,6.9,7.2
Paolo Banchero,11.26,20,20.5,8.4,4.5
Saddiq Bey,11.26,30,14.8,6.0,2.2
CJ McCollum,11.26,28,18.6,3.4,3.5
Dillon Brooks,11.19,23,21.8,3.1,1.7
Brandin Podziemski,10.95,30,12.4,4.5,3.3
Matas Buzelis,10.90,29,14.3,5.1,1.5
Derik Queen,10.84,31,13.4,6.9,4.1
Cam Spencer,10.66,29,12.3,2.3,4.7
Peyton Watson,10.55,27,10.6,4.6,1.6
Donovan Clingan,10.52,26,10.4,10.4,1.7
Duncan Robinson,10.50,28,12.0,2.8,2.0
Cedric Coward,10.49,29,13.5,6.2,2.9
Julian Champagnie,10.47,29,10.4,5.6,1.5
Rui Hachimura,10.43,25,13.3,3.8,0.8
Anfernee Simons,10.31,29,13.0,2.1,2.3
Cameron Johnson,10.29,28,11.7,3.6,2.4
Tre Jones,10.11,23,12.3,2.9,5.1
Andrew Wiggins,10.08,26,15.8,4.7,2.8
Davion Mitchell,9.99,28,9.8,2.6,7.5
Myles Turner,9.93,30,12.4,5.5,1.7
Sandro Mamukelashvili,9.90,30,10.5,4.6,1.8
Kyle Kuzma,9.89,28,13.5,4.9,2.2
Anthony Davis,9.83,15,21.7,11.4,3.0
Royce O'Neale,9.81,29,10.4,5.1,2.8
Isaiah Stewart,9.78,27,10.2,6.0,1.2
Jock Landale,9.75,30,11.0,5.9,1.6
LaMelo Ball,9.70,20,19.6,5.3,8.7
RJ Barrett,9.69,17,19.4,4.8,3.8
OG Anunoby,9.66,19,15.5,5.1,1.9
Andre Drummond,9.58,27,7.6,9.7,0.9
Jaylon Tyson,9.55,26,13.0,5.4,2.0
Jaylen Wells,9.49,30,12.4,3.6,1.7
Cason Wallace,9.48,29,7.9,2.9,2.2
De'Andre Hunter,9.48,27,15.3,4.2,2.1
Moussa Diabate,9.40,29,7.9,7.9,1.2
Jarrett Allen,9.34,20,13.9,7.5,2.0
Jalen Suggs,9.32,21,15.4,3.7,4.8
Jake LaRavia,9.31,28,8.8,4.2,1.9
Noah Clowney,9.27,28,13.4,3.9,1.9
Luke Kornet,9.24,21,8.1,6.6,2.0
Alexandre Sarr,9.22,19,18.3,8.6,3.1
Bobby Portis,9.19,30,12.5,6.2,1.3
John Collins,9.08,29,12.5,4.8,0.9
Zach LaVine,8.93,23,20.2,3.0,2.3
Jonas Valanciunas,8.91,29,8.7,4.6,1.2
PJ Washington,8.87,25,15.7,7.8,2.0
Toumani Camara,8.80,30,12.3,5.2,2.8
Moses Moody,8.77,28,11.4,3.3,1.6
Jeremiah Fears,8.73,31,14.8,3.5,3.2
LeBron James,8.68,12,20.4,5.3,7.0
Kyshawn George,8.67,26,14.7,5.7,5.1
Ayo Dosunmu,8.50,23,14.4,2.5,3.0
Grayson Allen,8.49,18,16.3,2.7,4.1
Andrew Nembhard,8.33,22,17.4,2.3,6.4
Ryan Kalkbrenner,8.26,26,8.7,6.4,0.6
Jakob Poeltl,8.23,21,9.7,7.7,2.1
Steven Adams,8.20,22,5.8,8.6,1.5
Bruce Brown,8.20,29,7.4,4.2,2.0
Tobias Harris,8.19,20,14.0,4.9,2.6
Zion Williamson,8.13,15,21.8,5.7,3.5
Isaiah Joe,8.11,21,12.0,3.0,1.5
Kyle Filipowski,8.09,28,10.0,6.6,2.2
Collin Sexton,8.07,22,15.4,2.2,4.1
Kevin Huerter,8.07,24,12.2,3.4,2.3
Dylan Harper,8.06,19,12.2,3.2,3.9
Jusuf Nurkic,7.98,26,8.8,9.6,4.1
Goga Bitadze,7.92,28,5.9,5.0,1.4
Zaccharie Risacher,7.90,28,11.1,3.0,1.6
Josh Minott,7.85,28,6.6,4.1,1.1
Miles McBride,7.80,20,11.6,2.5,2.5
Vit Krejci,7.74,27,10.6,2.3,1.6
Jordan Walsh,7.72,24,7.3,5.0,1.0
Day'Ron Sharpe,7.70,27,7.1,5.6,2.2
Dennis Schroder,7.66,23,13.1,3.6,5.9
Aaron Gordon,7.61,13,18.8,5.9,1.3
Max Christie,7.60,29,11.4,3.2,1.9
Jordan Goodwin,7.57,26,8.6,4.0,2.0
Jamal Shead,7.43,31,6.3,1.9,5.4
Bennedict Mathurin,7.37,19,18.4,5.7,2.1
Brandon Williams,7.36,28,10.5,2.5,4.0
Marvin Bagley III,7.34,23,10.2,5.5,1.5
Kris Dunn,7.33,29,8.4,2.9,2.9
Jordan Clarkson,7.15,29,9.9,2.0,1.5
Josh Okogie,7.12,27,6.8,3.0,1.1
Kevin Porter Jr.,7.09,11,20.4,4.9,7.5
Javonte Green,7.05,30,6.5,2.7,0.8
Ronald Holland II,7.01,28,8.4,3.8,1.5
Kristaps Porzingis,6.97,13,19.2,5.6,3.1
Mitchell Robinson,6.96,20,4.7,8.5,1.1
Jaxson Hayes,6.96,25,5.9,4.0,1.0
Kentavious Caldwell-Pope,6.96,30,8.1,2.4,3.4
AJ Green,6.95,27,10.5,2.7,2.1
Caris LeVert,6.92,24,8.5,1.8,2.9
Dru Smith,6.88,30,6.4,2.5,2.9
Quinten Post,6.85,30,7.8,4.5,1.6
Joel Embiid,6.83,12,21.0,6.6,2.9
Coby White,6.80,13,21.4,3.2,5.1
Terance Mann,6.72,26,8.3,3.5,3.7
Jay Huff,6.68,30,7.9,4.1,1.3
Tristan da Silva,6.60,26,9.7,3.9,1.2
Egor Demin,6.51,26,9.4,3.2,3.5
Jalen Williams,6.47,11,18.1,5.3,5.3
Svi Mykhailiuk,6.42,28,9.4,2.6,2.0
Sam Hauser,6.39,29,6.9,3.5,1.4
Pelle Larsson,6.38,24,8.7,2.5,3.2
Craig Porter Jr.,6.37,27,5.2,3.1,2.5
Dominick Barlow,6.37,18,9.1,5.6,1.8
Isaiah Jackson,6.30,29,7.3,5.9,0.8
Malik Monk,6.29,25,12.4,2.0,2.3
Simone Fontecchio,6.28,29,9.3,3.0,1.7
Luka Garza,6.18,21,6.3,4.0,1.0
Ryan Dunn,6.15,24,7.1,4.9,1.9
Jrue Holiday,6.14,12,16.7,5.3,8.3
Jalen Smith,6.11,24,8.6,5.6,1.3
Marcus Smart,6.10,19,10.5,2.6,2.9
Jose Alvarado,6.06,30,8.3,2.7,3.2
Gary Trent Jr.,6.02,30,9.6,1.4,1.6
Will Richard,6.02,25,8.1,2.7,1.0
Darius Garland,5.98,15,17.1,3.0,6.9
Jaylin Williams,5.97,25,5.5,4.7,2.4
Dean Wade,5.87,29,5.8,4.1,1.7
Brandon Miller,5.86,14,18.1,3.9,3.5
Daniss Jenkins,5.82,24,7.6,1.9,3.0
Kelly Oubre Jr.,5.81,12,16.8,5.1,1.3
Tyrese Martin,5.80,27,7.9,3.1,2.4
Oso Ighodaro,5.78,29,4.9,4.1,1.8
Paul George,5.78,12,16.4,5.0,3.3
Draymond Green,5.66,24,8.1,6.1,5.1
Ace Bailey,5.65,29,10.7,3.3,1.6
Keegan Murray,5.63,15,14.9,6.4,1.5
Zach Edey,5.61,11,13.6,11.1,1.1
Aaron Wiggins,5.61,17,11.4,2.9,1.8
Sion James,5.61,30,7.0,3.2,1.6
Mike Conley,5.60,26,5.4,1.9,3.3
Buddy Hield,5.58,29,7.7,2.5,1.5
Brice Sensabaugh,5.58,28,8.9,2.6,1.3
Sam Merrill,5.57,14,13.8,2.3,2.8
T.J. McConnell,5.55,19,9.8,2.7,4.6
Paul Reed,5.51,22,5.8,4.0,1.0
Ja Morant,5.51,14,17.7,3.5,7.5
Luke Kennard,5.49,28,6.8,1.9,2.2
Collin Murray-Boyles,5.47,26,7.0,3.8,1.4
Isaiah Collier,5.44,21,8.2,2.1,6.3
Tari Eason,5.41,13,11.5,5.0,1.6
D'Angelo Russell,5.36,24,10.4,2.5,4.0
Clint Capela,5.36,25,3.5,4.5,0.4
Bub Carrington,5.27,28,8.9,3.8,4.3
Mouhamed Gueye,5.13,30,5.5,3.4,0.8
Klay Thompson,5.12,28,11.1,2.5,1.3
Alex Caruso,5.09,20,5.6,3.2,2.4
Luguentz Dort,5.08,21,8.3,3.6,1.1
Precious Achiuwa,5.05,23,7.6,5.3,1.0
Jonathan Kuminga,5.00,18,11.8,6.2,2.6
Christian Braun,4.99,11,11.4,4.4,3.0
Gradey Dick,4.98,31,6.1,1.8,0.6
Robert Williams,4.96,19,6.1,5.9,0.9
Herbert Jones,4.87,22,9.8,3.7,2.4
Justin Champagnie,4.87,26,5.0,5.0,0.9
Domantas Sabonis,4.85,11,17.2,12.3,3.7
Isaac Okoro,4.84,21,8.6,2.5,1.4
Lonzo Ball,4.84,23,5.6,4.5,4.8
Maxime Raynaud,4.83,22,10.0,5.9,1.0
Aaron Holiday,4.80,21,8.0,1.0,1.0
Patrick Williams,4.74,28,6.7,3.0,1.2
Daniel Gafford,4.73,20,7.7,5.8,1.1
Kris Murray,4.64,28,5.9,4.0,1.0
Cole Anthony,4.60,26,6.8,2.6,3.8
Ziaire Williams,4.57,25,8.7,2.5,0.7
Khris Middleton,4.53,18,10.5,3.9,3.4
Spencer Jones,4.46,25,5.0,2.2,0.9
Tre Johnson,4.45,21,11.5,3.2,1.4
Vince Williams Jr.,4.44,22,7.4,4.2,4.9
Ryan Nembhard,4.36,18,8.3,1.9,5.6
Tyler Kolek,4.35,25,4.8,1.8,2.6
Jarace Walker,4.34,30,9.0,4.7,1.9
Landry Shamet,4.31,15,9.3,2.0,1.2
Jaylen Clark,4.24,27,4.3,2.0,0.6
Pat Spencer,4.22,21,7.0,2.3,3.0
Gary Payton II,4.11,28,3.9,3.1,1.7
Trendon Watford,4.11,14,8.9,4.7,3.6
Walter Clayton Jr.,4.10,25,6.3,2.0,3.2
Ja'Kobe Walter,4.09,28,5.4,2.0,0.8
Branden Carlson,4.07,20,5.0,2.2,0.7
Nae'Qwan Tomlin,4.06,22,6.6,3.0,0.6
Corey Kispert,3.98,18,8.9,2.4,1.8
Bones Hyland,3.97,21,6.1,1.3,2.1
Yves Missi,3.95,23,5.3,5.2,1.1
Derrick Jones Jr.,3.94,13,10.5,2.4,1.1
Tyus Jones,3.93,30,3.2,1.0,2.3
Bryce McGowens,3.92,19,8.1,2.3,1.5
Jordan Poole,3.85,12,17.0,1.7,3.3
Jabari Walker,3.80,27,4.5,3.6,0.6
Tyler Herro,3.78,6,23.2,5.0,2.3
Hugo Gonzalez,3.77,24,4.3,3.1,0.5
Cam Whitmore,3.73,21,9.2,2.8,0.7
Keaton Wallace,3.72,27,4.1,1.4,2.6
Jared McCain,3.72,19,7.6,2.5,2.1
Trae Young,3.69,8,19.3,1.6,9.1
Nikola Jovic,3.69,19,7.2,3.5,2.6
Adem Bona,3.68,20,3.8,3.7,0.1
Kevin Love,3.66,18,6.9,5.1,1.7
Justin Edwards,3.63,25,5.4,1.8,1.4
Tristan Vukcevic,3.57,24,7.0,2.6,0.9
Jarred Vanderbilt,3.54,19,4.6,5.6,1.3
Trayce Jackson-Davis,3.52,20,4.3,3.7,1.1
Tidjane Salaun,3.48,17,6.6,3.6,0.9
Caleb Love,3.44,22,7.9,2.4,2.0
Jaden Ivey,3.44,15,8.0,2.2,1.6
Drew Eubanks,3.43,25,5.3,2.8,0.3
Dalton Knecht,3.39,23,5.7,1.9,0.5
Drake Powell,3.33,19,6.0,1.8,1.9
Jamaree Bouyea,3.32,13,7.5,1.7,1.7
Jeremy Sochan,3.29,19,5.5,3.4,1.3
John Konchar,3.24,22,3.0,2.7,1.2
Nicolas Batum,3.23,28,4.5,2.7,0.7
Aaron Nesmith,3.22,11,15.5,4.5,1.5
Thomas Bryant,3.20,24,4.8,2.7,0.4
Ben Sheppard,3.14,22,6.5,4.1,2.0
Jonathan Isaac,3.12,26,3.0,3.1,0.1
Kobe Sanders,3.04,21,6.5,1.9,1.3
Taylor Hendricks,3.03,18,6.3,3.4,0.6
Walker Kessler,3.03,5,14.4,10.8,3.0
Asa Newell,2.98,21,5.4,1.9,0.5
Karlo Matkovic,2.93,21,4.6,3.3,0.9
Brook Lopez,2.92,22,6.0,2.2,0.7
Kelly Olynyk,2.90,17,4.2,2.4,1.5
Tre Mann,2.82,21,8.8,2.9,2.6
Noah Penda,2.79,17,4.5,4.1,1.2
Keon Ellis,2.74,28,4.9,1.4,0.7
Cam Thomas,2.72,8,21.4,1.4,2.6
Jericho Sims,2.71,24,3.4,4.1,0.8
Bilal Coulibaly,2.68,14,8.8,4.1,2.7
Baylor Scheierman,2.66,25,2.9,1.7,0.7
Dwight Powell,2.63,22,2.8,2.5,0.9
Nick Richards,2.63,24,3.4,3.3,0.3
Nique Clifford,2.60,26,5.0,2.7,1.3
Tony Bradley,2.59,24,4.5,2.5,0.6
Ousmane Dieng,2.57,17,4.4,1.8,0.9
Jett Howard,2.56,21,5.3,1.4,0.9
Sidy Cissoko,2.55,25,5.8,2.2,1.4
Zach Collins,2.53,8,9.0,5.1,1.5
Micah Peavy,2.53,25,4.8,2.4,1.0
Tyrese Proctor,2.47,23,5.2,1.4,1.4
Kenrich Williams,2.47,10,6.3,2.7,1.8
Danny Wolf,2.44,14,7.7,4.0,1.8
Jamison Battle,2.41,21,3.9,1.5,0.4
Guerschon Yabusele,2.40,26,3.0,2.2,0.4
Terrence Shannon Jr.,2.39,21,4.8,1.3,0.7
Al Horford,2.37,13,5.6,4.4,2.0
Will Riley,2.37,22,4.5,1.6,1.0
Bogdan Bogdanovic,2.32,15,8.5,3.1,2.9
Ochai Agbaji,2.28,23,4.1,2.3,0.8
Quenton Jackson,2.27,10,8.3,2.7,2.2
Nick Smith Jr.,2.21,12,7.6,1.2,1.3
Olivier-Maxence Prosper,2.21,18,4.7,2.1,0.8
Rob Dillingham,2.14,25,3.7,1.3,2.0
Jalen Pickett,2.08,15,3.4,1.7,1.8
Liam McNeeley,2.06,20,4.8,2.3,0.8
Gui Santos,2.05,23,3.3,2.0,0.7
Jaden Hardy,2.05,23,5.9,1.3,0.6
Jase Richardson,1.98,19,4.6,1.2,1.2
Jevon Carter,1.97,14,6.9,1.4,1.2
Moussa Cisse,1.93,19,3.1,3.5,0.2
Cam Christie,1.82,18,4.1,2.0,0.6
Jeremiah Robinson-Earl,1.80,17,4.6,5.2,0.7
Garrison Mathews,1.77,15,5.2,1.1,0.7
KJ Simpson,1.73,14,6.0,2.1,2.4
Kyle Anderson,1.71,9,6.7,2.6,3.1
Gabe Vincent,1.69,14,4.7,0.9,1.4
Kobe Brown,1.67,20,3.5,2.0,0.9
Chris Paul,1.65,16,2.9,1.8,3.3
Jae'Sean Tate,1.63,16,3.0,1.6,0.6
Jalen Wilson,1.62,20,5.2,1.1,0.6
Julian Phillips,1.60,22,2.8,1.4,0.3
Dalen Terry,1.58,16,3.2,1.8,1.3
Pat Connaughton,1.57,15,3.6,1.7,0.5
Duop Reath,1.57,24,3.1,0.8,0.3
Ariel Hukporti,1.55,18,1.4,2.6,0.6
Jordan Hawkins,1.55,24,5.0,1.7,0.8
Gary Harris,1.54,21,2.4,1.4,1.1
Larry Nance Jr.,1.53,16,3.6,2.8,1.3
Brooks Barnhizer,1.53,19,1.5,1.9,0.4
Jordan McLaughlin,1.51,12,2.9,0.8,1.0
Ethan Thompson,1.45,10,5.6,2.0,1.6
David Jones-Garcia,1.42,10,3.2,1.2,1.8
Ben Saraf,1.40,12,5.4,1.6,2.8
Chaz Lanier,1.39,13,3.3,1.1,0.8
Keshad Johnson,1.34,12,3.5,2.5,0.1
Zeke Nnaji,1.28,18,1.9,1.4,0.3
Taurean Prince,1.28,8,6.1,1.6,1.0
Jordan Miller,1.28,8,6.4,2.8,1.1
Mason Plumlee,1.26,14,1.9,2.9,1.1
Xavier Tillman,1.24,11,2.8,2.2,0.5
Caleb Martin,1.23,24,1.7,1.6,1.0
Blake Wesley,1.20,6,6.0,2.3,3.2
Yanic Konan Niederhauser,1.16,13,2.8,1.4,0.2
Gregory Jackson,1.16,10,4.4,2.5,0.3
Chris Youngblood,1.15,21,1.8,0.9,0.3
Dereck Lively II,1.13,7,4.3,5.3,1.9
Carter Bryant,1.13,21,2.5,1.7,0.1
Lindy Waters III,1.13,15,2.4,1.0,0.4
Isaiah Livers,1.12,13,2.5,2.2,0.4
Kevon Looney,1.12,12,2.7,3.9,1.4
JD Davison,1.12,12,1.7,0.3,0.9
Jalen Green,1.06,2,15.5,2.0,2.0
Malaki Branham,1.05,14,3.6,1.8,0.8
Julian Strawther,1.04,13,3.5,1.2,0.5
Rasheer Fleming,1.01,14,2.7,1.2,0.1
Josh Green,0.99,6,5.2,1.8,1.2
De'Anthony Melton,0.98,7,6.3,1.0,2.0
Dylan Cardwell,0.97,7,3.4,4.4,0.7
Javon Small,0.97,9,3.8,1.1,3.2
Luke Travers,0.94,12,2.3,2.0,0.8
Johnny Furphy,0.93,12,3.8,2.3,0.3
Amir Coffey,0.84,21,1.4,0.7,0.4
Jamir Watkins,0.83,11,3.5,2.6,0.5
Eric Gordon,0.83,6,5.5,0.3,0.5
Matisse Thybulle,0.83,4,5.0,1.0,0.8
Maxi Kleber,0.82,13,1.9,1.8,0.6
RayJ Dennis,0.79,14,4.6,1.6,1.9
Jeff Green,0.78,11,2.2,0.5,0.1
Bradley Beal,0.75,6,8.2,0.8,1.7
Bronny James,0.72,15,1.7,0.7,1.5
Mohamed Diawara,0.70,21,1.1,0.7,0.4
Tolu Smith,0.65,2,8.5,5.5,1.0
Rayan Rupert,0.62,23,1.7,1.6,0.4
Obi Toppin,0.61,3,14.0,6.7,1.7
Andre Jackson Jr.,0.58,14,1.4,0.9,1.2
Caleb Houstan,0.57,8,2.5,0.6,0.3
Joan Beringer,0.56,9,2.0,1.3,0.0
Hansen Yang,0.53,14,2.7,1.8,0.9
Devin Carter,0.53,9,3.6,1.4,1.4
Chris Boucher,0.53,8,2.3,2.3,0.4
Nolan Traore,0.51,8,2.5,1.0,1.5
Thanasis Antetokounmpo,0.50,10,1.8,0.4,0.0
Jonathan Mogbo,0.49,11,1.2,1.4,0.5
Adou Thiero,0.49,12,1.3,0.8,0.3
Leonard Miller,0.46,9,1.7,1.2,0.4
Cody Williams,0.45,17,2.6,1.1,0.6
Kasparas Jakucionis,0.42,5,5.8,2.0,1.0
Antonio Reeves,0.41,6,3.5,0.8,0.3
Nigel Hayes-Davis,0.38,19,1.4,1.3,0.4
Pete Nance,0.37,8,2.3,0.9,0.1
Seth Curry,0.37,2,7.0,2.0,1.5
Bismack Biyombo,0.37,10,0.9,0.7,0.3
Emanuel Miller,0.36,5,3.0,0.6,0.8
Wendell Moore Jr.,0.36,3,2.0,1.3,1.0
Mark Sears,0.35,7,3.1,0.3,0.3
Jamal Cain,0.34,7,1.7,0.6,0.3
Kyle Lowry,0.34,5,1.2,0.6,1.4
Bobi Klintman,0.33,6,2.8,2.7,0.7
Ron Harper Jr.,0.33,4,2.0,0.8,1.0
EJ Harkless,0.33,7,2.4,0.9,0.7
Taelon Peter,0.32,17,1.4,0.9,0.8
Hunter Tyson,0.32,11,1.1,1.3,0.3
Monte Morris,0.31,6,3.0,1.2,1.5
Trey Alexander,0.31,3,4.7,1.3,1.3
Myron Gardner,0.29,6,1.8,0.7,0.3
Marcus Sasser,0.29,4,1.8,0.8,1.8
Anthony Gill,0.29,12,1.4,0.8,0.0
PJ Hall,0.28,7,1.9,1.3,0.3
Mac McClung,0.28,3,6.3,1.3,0.3
Charles Bassey,0.26,2,3.5,7.5,1.0
Brandon Clarke,0.26,2,4.0,3.0,0.5
E.J. Liddell,0.26,7,2.0,1.3,0.0
Christian Koloko,0.25,4,0.5,1.5,0.3
Riley Minix,0.25,3,3.0,0.7,0.3
DeAndre Jordan,0.24,2,4.5,5.0,0.0
Amari Williams,0.24,6,0.5,1.2,0.2
Jacob Toppin,0.24,5,1.6,0.2,0.2
Khaman Maluach,0.23,13,1.5,1.0,0.2
Orlando Robinson,0.22,3,2.3,1.0,0.7
Jahmir Young,0.21,5,2.0,0.4,0.8
Trey Jemison,0.21,4,1.3,2.0,0.3
Johnny Juzang,0.20,8,1.1,0.4,0.1
Harrison Ingram,0.20,3,1.7,1.0,0.0
AJ Lawson,0.19,2,6.0,2.5,0.0
Johni Broome,0.19,7,1.4,1.9,0.6
Drew Timme,0.18,2,1.0,1.0,1.5
Chris Livingston,0.17,3,3.0,1.0,0.3
Garrett Temple,0.17,7,0.6,0.4,0.3
Pacome Dadiet,0.17,11,0.4,0.6,0.4
Koby Brea,0.16,2,2.0,0.5,1.0
Dario Saric,0.16,5,1.0,1.2,0.4
N'Faly Dante,0.15,4,0.8,1.8,0.0
Isaac Jones,0.15,4,1.3,0.5,0.3
James Wiseman,0.14,4,3.3,2.0,0.8
Joe Ingles,0.13,8,0.0,0.0,0.8
Cody Martin,0.13,4,1.8,3.5,0.5
Kam Jones,0.12,2,2.5,0.0,0.0
Kevin McCullar Jr.,0.12,3,1.0,0.3,0.0
Hunter Sallis,0.11,7,1.0,0.1,0.6
DaRon Holmes II,0.10,2,1.5,0.0,0.0
Jahmai Mashack,0.09,6,1.0,0.8,0.3
Trentyn Flowers,0.07,2,2.0,0.5,0.5
Colby Jones,0.06,1,2.0,4.0,2.0
Drew Peterson,0.05,6,0.8,1.5,0.3
Chris Manon,0.04,3,0.0,1.0,0.0
Doug McDermott,0.04,2,3.0,0.0,0.0
Curtis Jones,0.03,3,0.7,0.7,0.0
Vladislav Goldin,0.02,1,0.0,0.0,1.0
Tyson Etienne,0.01,8,1.5,0.0,0.1
Tosan Evbuomwan,0.00,5,0.0,0.4,0.0
Alijah Martin,0.00,2,0.0,0.0,0.0
Javonte Cooke,-0.00,5,1.4,0.6,1.0
Miles Kelly,-0.01,2,1.0,2.0,0.0
Daeqwon Plowden,-0.01,1,2.0,2.0,0.0
Isaiah Crawford,-0.02,2,0.0,0.0,0.0
Lachlan Olbrich,-0.03,5,0.4,2.2,0.6
Hunter Dickinson,-0.03,1,2.0,0.0,0.0
Jahmyl Telfort,-0.04,8,0.1,0.4,0.1
Noa Essengue,-0.05,2,0.0,0.0,0.0
Sharife Cooper,-0.07,4,0.0,0.0,0.0
